grid_cell_id,waste_brick_network_input_t_per_year
NDGRD_680,0
NDGRD_681,0
NDGRD_682,0
NDGRD_683,0
NDGRD_684,0
NDGRD_685,0
NDGRD_686,0
NDGRD_687,189.9455715
NDGRD_688,54.67417817
NDGRD_689,1778.887807
NDGRD_690,75.31242172
NDGRD_691,0
NDGRD_692,0
NDGRD_693,0
NDGRD_694,2.484905096
NDGRD_695,83.07410748
NDGRD_696,36.04849933
NDGRD_697,31.57338992
NDGRD_698,0
NDGRD_699,0
NDGRD_700,0
NDGRD_701,6.997435872
NDGRD_702,72.83347264
NDGRD_703,0
NDGRD_704,0
NDGRD_705,0
NDGRD_706,0
NDGRD_707,0
NDGRD_708,0
NDGRD_709,6.001264508
NDGRD_710,0
NDGRD_711,0
NDGRD_712,0
NDGRD_713,0
NDGRD_714,50.04699143
NDGRD_715,9.821418445
NDGRD_716,62.15272518
NDGRD_717,5.67836624
NDGRD_718,0
NDGRD_719,367.5601045
NDGRD_720,613.14844
NDGRD_721,596.6985839
NDGRD_722,600.2340456
NDGRD_723,180.4587889
NDGRD_724,0
NDGRD_725,0
NDGRD_726,5.922366227
NDGRD_727,20.48551276
NDGRD_728,1.193447917
NDGRD_729,4.101323675
NDGRD_730,0
NDGRD_731,0
NDGRD_732,0
NDGRD_733,0
NDGRD_734,1.000215336
NDGRD_735,11.92814045
NDGRD_736,892.8176015
NDGRD_737,10.63052633
NDGRD_738,0
NDGRD_739,0
NDGRD_740,0
NDGRD_741,0
NDGRD_742,0
NDGRD_743,0
NDGRD_744,0
NDGRD_745,15.92497603
NDGRD_746,0
NDGRD_747,0
NDGRD_748,0
NDGRD_749,0
NDGRD_750,12.78594227
NDGRD_751,173.8129589
NDGRD_752,114.3550785
NDGRD_753,92.50372761
NDGRD_754,677.8429241
NDGRD_755,541.5124583
NDGRD_756,552.0908917
NDGRD_757,120.2198479
NDGRD_758,156.4465327
NDGRD_759,85.90489043
NDGRD_760,0
NDGRD_761,0
NDGRD_762,0
NDGRD_763,576.4768897
NDGRD_764,98.99003138
NDGRD_765,10.79175938
NDGRD_766,0
NDGRD_767,0
NDGRD_768,0
NDGRD_769,0
NDGRD_770,66.94097449
NDGRD_771,28.87075922
NDGRD_772,8.185587312
NDGRD_773,2.789958641
NDGRD_774,0
NDGRD_775,0
NDGRD_776,0
NDGRD_777,0
NDGRD_778,0
NDGRD_779,0
NDGRD_780,0
NDGRD_781,0
NDGRD_782,0
NDGRD_783,0
NDGRD_784,0.65583199
NDGRD_785,0
NDGRD_786,0
NDGRD_787,0
NDGRD_788,27.32668768
NDGRD_789,1.870568975
NDGRD_790,76.05197586
NDGRD_791,3.764446018
NDGRD_792,0
NDGRD_793,0
NDGRD_794,74.45841371
NDGRD_795,1.826016889
NDGRD_796,403.5989719
NDGRD_797,724.185142
NDGRD_798,1090.726268
NDGRD_799,4158.633868
NDGRD_800,4365.317653
NDGRD_801,332.1611311
NDGRD_802,3.376617212
NDGRD_803,0.14059612
NDGRD_804,0
NDGRD_805,0
NDGRD_806,0
NDGRD_807,40.9797218
NDGRD_808,114.1177481
NDGRD_809,160.2330059
NDGRD_810,18.04047189
NDGRD_811,14.91817207
NDGRD_812,12.47141965
NDGRD_813,0
NDGRD_814,276.1946834
NDGRD_815,315.3272098
NDGRD_816,64.05302904
NDGRD_817,12.53629864
NDGRD_818,0
NDGRD_819,43.11881813
NDGRD_820,0
NDGRD_821,0
NDGRD_822,0
NDGRD_823,0
NDGRD_824,0
NDGRD_825,503.4312482
NDGRD_826,0
NDGRD_827,0
NDGRD_828,0
NDGRD_829,0
NDGRD_830,0
NDGRD_831,0
NDGRD_832,0
NDGRD_833,0
NDGRD_834,0
NDGRD_835,0
NDGRD_836,0
NDGRD_837,0
NDGRD_838,0
NDGRD_839,0
NDGRD_840,0
NDGRD_841,89.40118736
NDGRD_842,133.6943322
NDGRD_843,1393.251535
NDGRD_844,2.943885435
NDGRD_845,0
NDGRD_846,0.501416362
NDGRD_847,0
NDGRD_848,8.775723508
NDGRD_849,19.47048728
NDGRD_850,286.0742959
NDGRD_851,213.2404243
NDGRD_852,20.16434686
NDGRD_853,169.8196867
NDGRD_854,461.7480916
NDGRD_855,3603.638191
NDGRD_856,37.61225609
NDGRD_857,22.48411813
NDGRD_858,0
NDGRD_859,0
NDGRD_860,0
NDGRD_861,2.835195399
NDGRD_862,45.63615638
NDGRD_863,75.07054414
NDGRD_864,0
NDGRD_865,6.396571919
NDGRD_866,8.826532667
NDGRD_867,0
NDGRD_868,604.4695671
NDGRD_869,234.9679
NDGRD_870,287.3845632
NDGRD_871,541.4192112
NDGRD_872,39.97536115
NDGRD_873,12.48083183
NDGRD_874,0
NDGRD_875,0
NDGRD_876,3.354316203
NDGRD_877,0
NDGRD_878,0
NDGRD_879,395.9273564
NDGRD_880,17.28577469
NDGRD_881,1.358846066
NDGRD_882,0
NDGRD_883,0
NDGRD_884,0
NDGRD_885,0
NDGRD_886,0
NDGRD_887,0
NDGRD_888,0
NDGRD_889,0
NDGRD_890,0
NDGRD_891,0
NDGRD_892,0
NDGRD_893,0
NDGRD_894,0
NDGRD_895,0
NDGRD_896,0
NDGRD_897,0
NDGRD_898,0
NDGRD_899,81.11108544
NDGRD_900,5.420594025
NDGRD_901,0
NDGRD_902,0
NDGRD_903,184.1392631
NDGRD_904,453.3917304
NDGRD_905,3.522209872
NDGRD_906,10.77642626
NDGRD_907,44.24745297
NDGRD_908,0
NDGRD_909,356.221966
NDGRD_910,1094.34172
NDGRD_911,290.2025696
NDGRD_912,499.5983769
NDGRD_913,1.387667238
NDGRD_914,0
NDGRD_915,70.86547726
NDGRD_916,3.42779485
NDGRD_917,18.43894172
NDGRD_918,1.888698543
NDGRD_919,0
NDGRD_920,0
NDGRD_921,0.575083609
NDGRD_922,0
NDGRD_923,221.165217
NDGRD_924,8.998211729
NDGRD_925,0
NDGRD_926,0
NDGRD_927,0
NDGRD_928,30.18176494
NDGRD_929,11.10270973
NDGRD_930,216.8398432
NDGRD_931,313.7118264
NDGRD_932,153.3374431
NDGRD_933,4.185557338
NDGRD_934,0
NDGRD_935,0
NDGRD_936,0
NDGRD_937,4.866531067
NDGRD_938,3.129973843
NDGRD_939,0
NDGRD_940,0
NDGRD_941,357.8842331
NDGRD_942,50.68682342
NDGRD_943,1.24868105
NDGRD_944,5.881870008
NDGRD_945,0
NDGRD_946,0
NDGRD_947,0
NDGRD_948,0
NDGRD_949,0
NDGRD_950,0
NDGRD_951,0
NDGRD_952,0
NDGRD_953,0
NDGRD_954,0
NDGRD_955,0
NDGRD_956,0
NDGRD_957,0
