grid_cell_id,waste_brick_network_input_t_per_year
NDGRD_552,1.169578052
NDGRD_553,0
NDGRD_554,0
NDGRD_555,14.0048338
NDGRD_556,11.75858965
NDGRD_557,4.900848608
NDGRD_558,497.8306293
NDGRD_559,81.40105908
NDGRD_560,431.4451857
NDGRD_561,0
NDGRD_562,0
NDGRD_563,8.345976135
NDGRD_564,1473.625734
NDGRD_565,46.995018
NDGRD_566,1810.159607
NDGRD_567,13.71486589
NDGRD_568,2.914147835
NDGRD_569,0
NDGRD_570,465.5010276
NDGRD_571,265.0750945
NDGRD_572,0
NDGRD_573,0
NDGRD_574,37.64669915
NDGRD_575,0
NDGRD_576,0
NDGRD_577,0
NDGRD_578,0
NDGRD_579,0
NDGRD_580,5.356653939
NDGRD_581,0.201143902
NDGRD_582,0
NDGRD_583,0
NDGRD_584,0
NDGRD_585,26.589359
NDGRD_586,0
NDGRD_587,0
NDGRD_588,1.49608541
NDGRD_589,4.235504802
NDGRD_590,181.0715939
NDGRD_591,13.17294213
NDGRD_592,340.5519481
NDGRD_593,465.301371
NDGRD_594,13.35561826
NDGRD_595,0
NDGRD_596,11.81393932
NDGRD_597,286.1740662
NDGRD_598,100.9224429
NDGRD_599,12.7682984
NDGRD_600,24.85833681
NDGRD_601,1.763014121
NDGRD_602,0
NDGRD_603,30.59635097
NDGRD_604,135.5488419
NDGRD_605,0
NDGRD_606,0
NDGRD_607,0
NDGRD_608,0
NDGRD_609,0
NDGRD_610,0
NDGRD_611,0
NDGRD_612,0
NDGRD_613,13.30825352
NDGRD_614,0
NDGRD_615,2.467886872
NDGRD_616,40.52769609
NDGRD_617,7.451303526
NDGRD_618,1018.400631
NDGRD_619,0.132124366
NDGRD_620,2.522922123
NDGRD_621,10.19456024
NDGRD_622,677.176869
NDGRD_623,1075.995089
NDGRD_624,23.97830927
NDGRD_625,295.9605153
NDGRD_626,85.75869057
NDGRD_627,112.5464201
NDGRD_628,263.7058251
NDGRD_629,152.9395064
NDGRD_630,199.7380548
NDGRD_631,782.6940127
NDGRD_632,328.8724129
NDGRD_633,30.94255755
NDGRD_634,390.9197826
NDGRD_635,1845.519016
NDGRD_636,97.06616532
NDGRD_637,0
NDGRD_638,0
NDGRD_639,0
NDGRD_640,0
NDGRD_641,0
NDGRD_642,0
NDGRD_643,0
NDGRD_644,5.338318879
NDGRD_645,8.077167897
NDGRD_646,0
NDGRD_647,0
NDGRD_648,0
NDGRD_649,0.52890835
NDGRD_650,0
NDGRD_651,4.77865023
NDGRD_652,50.26618304
NDGRD_653,0.808078996
NDGRD_654,4.93171134
NDGRD_655,1.689158793
NDGRD_656,578.4730739
NDGRD_657,403.9245801
NDGRD_658,11.6763626
NDGRD_659,707.2766588
NDGRD_660,2374.633064
NDGRD_661,473.6283884
NDGRD_662,1022.093043
NDGRD_663,1083.805808
NDGRD_664,520.166661
NDGRD_665,2061.788006
NDGRD_666,44.88174579
NDGRD_667,249.7543234
NDGRD_668,1092.874288
NDGRD_669,3.294184775
NDGRD_670,0
NDGRD_671,0
NDGRD_672,0
NDGRD_673,0
NDGRD_674,0
NDGRD_675,0
NDGRD_676,0
NDGRD_677,0
NDGRD_678,0
NDGRD_679,0
NDGRD_680,0
NDGRD_681,0
NDGRD_682,0
NDGRD_683,0
NDGRD_684,0
NDGRD_685,0
NDGRD_686,1.892512853
NDGRD_687,201.8110977
NDGRD_688,47.48492579
NDGRD_689,1563.098338
NDGRD_690,73.92403755
NDGRD_691,0
NDGRD_692,0
NDGRD_693,0
NDGRD_694,5.394486932
NDGRD_695,24.49902393
